school,nickname,url,location,secondary_name,slug,primary_color,short_name,home_venue
Kansas State,Wildcats,/cbb/schools/kansas-state/men/,"Manhattan, Kansas",,kansas-state,#512888,,"Manhattan, Kansas"
Kennesaw State,Owls,/cbb/schools/kennesaw-state/men/,"Kennesaw, Georgia",,kennesaw-state,#FFC72C,,"Kennesaw, Georgia"
Kent State,Golden Flashes,/cbb/schools/kent-state/men/,"Kent, Ohio",,kent-state,#0A2240,,"Kent, Ohio"
Kentucky,Wildcats,/cbb/schools/kentucky/men/,"Lexington, Kentucky",,kentucky,#0033A0,,"Lexington, Kentucky"
La Salle,Explorers,/cbb/schools/la-salle/men/,"Philadelphia, Pennsylvania",,la-salle,#00205B,,"John Glaser Arena, Philadelphia, Pennsylvania"
Lafayette,Leopards,/cbb/schools/lafayette/men/,"Easton, Pennsylvania",,lafayette,#800000,,"Easton, Pennsylvania"
Lamar,Cardinals,/cbb/schools/lamar/men/,"Beaumont, Texas",,lamar,#C8102E,,"Beaumont, Texas"
Le Moyne,Dolphins,/cbb/schools/le-moyne/men/,"Syracuse, New York",,le-moyne,#006747,,"Le Moyne Events Center, Syracuse, New York"
Lehigh,Mountain Hawks,/cbb/schools/lehigh/men/,"Bethlehem, Pennsylvania",,lehigh,#653819,,"Bethlehem, Pennsylvania"
Liberty,Flames,/cbb/schools/liberty/men/,"Lynchburg, Virginia",,liberty,#00205B,,"Lynchburg, Virginia"
Lindenwood,Lions,/cbb/schools/lindenwood/men/,"St. Charles, Missouri",,lindenwood,#B4975A,,"Saint Charles, Missouri"
Lipscomb,Bisons,/cbb/schools/lipscomb/men/,"Nashville, Tennessee",,lipscomb,#512D6D,,"Nashville, Tennessee"
Little Rock,Trojans,/cbb/schools/arkansas-little-rock/men/,"Little Rock, Arkansas",,little-rock,#6E2639,,"Little Rock, Arkansas"
Long Beach State,Beach,/cbb/schools/long-beach-state/men/,"Long Beach, California",,long-beach-state,#FFC72C,,"Long Beach, California"
Long Island University,Sharks,/cbb/schools/long-island-university/men/,"Brooklyn, New York",LIU,long-island-university,#0099CC,,"Brooklyn, New York"
Longwood,Lancers,/cbb/schools/longwood/men/,"Farmville, Virginia",,longwood,#00205B,,"Joan Perry Brock Center, Farmville, Virginia"
Louisiana,Ragin' Cajuns,/cbb/schools/louisiana-lafayette/men/,"Lafayette, Louisiana",,louisiana,#D50032,,"Lafayette, Louisiana"
Louisiana State,Fighting Tigers,/cbb/schools/louisiana-state/men/,"Baton Rouge, Louisiana",LSU,louisiana-state,#461D7C,,"Baton Rouge, Louisiana"
Louisiana Tech,Bulldogs,/cbb/schools/louisiana-tech/men/,"Ruston, Louisiana",,louisiana-tech,#003087,,"Ruston, Louisiana"
Louisiana-Monroe,Warhawks,/cbb/schools/louisiana-monroe/men/,"Monroe, Louisiana",,louisiana-monroe,#840029,,"Monroe, Louisiana"
Louisville,Cardinals,/cbb/schools/louisville/men/,"Louisville, Kentucky",,louisville,#AD0000,,"Louisville, Kentucky"
Loyola (IL),Ramblers,/cbb/schools/loyola-il/men/,"Chicago, Illinois",,loyola-il,,,"Chicago, Illinois"
Loyola (MD),Greyhounds,/cbb/schools/loyola-md/men/,"Baltimore, Maryland",,loyola-md,,,"Baltimore, Maryland"
Loyola Marymount,Lions,/cbb/schools/loyola-marymount/men/,"Los Angeles, California",,loyola-marymount,#00205B,,"Los Angeles, California"
Maine,Black Bears,/cbb/schools/maine/men/,"Orono, Maine",,maine,#00205B,,"Orono, Maine"
Manhattan,Jaspers,/cbb/schools/manhattan/men/,"Riverdale, New York",,manhattan,#007A33,,"Riverdale, New York"
Marist,Red Foxes,/cbb/schools/marist/men/,"Poughkeepsie, New York",,marist,#C8102E,,"Poughkeepsie, New York"
Marquette,Golden Eagles,/cbb/schools/marquette/men/,"Milwaukee, Wisconsin",,marquette,#003366,,"Milwaukee, Wisconsin"
Marshall,Thundering Herd,/cbb/schools/marshall/men/,"Huntington, West Virginia",,marshall,#00703C,,"Huntington, West Virginia"
Maryland,Terrapins,/cbb/schools/maryland/men/,"College Park, Maryland",,maryland,#E03A3E,,"College Park, Maryland"
Maryland-Baltimore County,Retrievers,/cbb/schools/maryland-baltimore-county/men/,"Baltimore, Maryland",UMBC,maryland-baltimore-county,#FFCC00,,"Baltimore, Maryland"
Maryland-Eastern Shore,Hawks,/cbb/schools/maryland-eastern-shore/men/,"Princess Anne, Maryland",,maryland-eastern-shore,#800000,,"Princess Anne, Maryland"
Massachusetts,Minutemen,/cbb/schools/massachusetts/men/,"Amherst, Massachusetts",UMass,massachusetts,#881C1C,,"Amherst, Massachusetts"
Massachusetts-Lowell,River Hawks,/cbb/schools/massachusetts-lowell/men/,"Lowell, Massachusetts",UMass-Lowell,massachusetts-lowell,#0066CC,,"Lowell, Massachusetts"
McNeese State,Cowboys,/cbb/schools/mcneese-state/men/,"Lake Charles, Louisiana",,mcneese-state,#00529B,,"Lake Charles, Louisiana"
Memphis,Tigers,/cbb/schools/memphis/men/,"Memphis, Tennessee",,memphis,#0046AD,,"Memphis, Tennessee"
Mercer,Bears,/cbb/schools/mercer/men/,"Macon, Georgia",,mercer,#FF8200,,"Hammond, Louisiana"
Merrimack,Warriors,/cbb/schools/merrimack/men/,"North Andover, Massachusetts",,merrimack,#00205B,,"North Andover, Massachusetts"
Miami (FL),Hurricanes,/cbb/schools/miami-fl/men/,"Coral Gables, Florida",,miami-fl,#005030,,"Coral Gables, Florida"
Miami (OH),RedHawks,/cbb/schools/miami-oh/men/,"Oxford, Ohio",,miami-oh,#B61E2E,,"Oxford, Ohio"
Michigan State,Spartans,/cbb/schools/michigan-state/men/,"East Lansing, Michigan",,michigan-state,#18453B,,"East Lansing, Michigan"
Michigan,Wolverines,/cbb/schools/michigan/men/,"Ann Arbor, Michigan",,michigan,#00274C,,"Ann Arbor, Michigan"
Middle Tennessee,Blue Raiders,/cbb/schools/middle-tennessee/men/,"Murfreesboro, Tennessee",,middle-tennessee,#0066CC,,"Murfreesboro, Tennessee"
Milwaukee,Panthers,/cbb/schools/milwaukee/men/,"Milwaukee, Wisconsin",,milwaukee,#FFC72C,,"Milwaukee, Wisconsin"
