full_name,school,nickname,url,location
Abilene Christian Wildcats,,,/cbb/schools/abilene-christian/men/,"Abilene, Texas"
Air Force Falcons,,,/cbb/schools/air-force/men/,"USAF Academy, Colorado"
Akron Zips,Akron,Zips,/cbb/schools/akron/men/,"Akron, Ohio"
Alabama A&M Bulldogs,,,/cbb/schools/alabama-am/men/,"Normal, Alabama"
Alabama Crimson Tide,,,/cbb/schools/alabama/men/,"Tuscaloosa, Alabama"
Alabama State Hornets,,,/cbb/schools/alabama-state/men/,"Montgomery, Alabama"
Albany (NY) Great Danes,,,/cbb/schools/albany-ny/men/,"Albany, New York"
Alcorn State Braves,,,/cbb/schools/alcorn-state/men/,"Alcorn State, Mississippi"
American Eagles,American,Eagles,/cbb/schools/american/men/,"Washington, D.C."
Appalachian State Mountaineers,,,/cbb/schools/appalachian-state/men/,"Boone, North Carolina"
Arizona State Sun Devils,,,/cbb/schools/arizona-state/men/,"Tempe, Arizona"
Arizona Wildcats,Arizona,Wildcats,/cbb/schools/arizona/men/,"Tucson, Arizona"
Arkansas Razorbacks,Arkansas,Razorbacks,/cbb/schools/arkansas/men/,"Fayetteville, Arkansas"
Arkansas State Red Wolves,,,/cbb/schools/arkansas-state/men/,"State University, Arkansas"
Arkansas-Pine Bluff Golden Lions,,,/cbb/schools/arkansas-pine-bluff/men/,"Pine Bluff, Arkansas"
Army Black Knights,,,/cbb/schools/army/men/,"West Point, New York"
Auburn Tigers,Auburn,Tigers,/cbb/schools/auburn/men/,"Auburn, Alabama"
Austin Peay Governors,,,/cbb/schools/austin-peay/men/,"Clarksville, Tennessee"
Ball State Cardinals,,,/cbb/schools/ball-state/men/,"Muncie, Indiana"
Baylor Bears,Baylor,Bears,/cbb/schools/baylor/men/,"Waco, Texas"
Bellarmine Knights,Bellarmine,Knights,/cbb/schools/bellarmine/men/,"Louisville, Kentucky"
Belmont Bruins,Belmont,Bruins,/cbb/schools/belmont/men/,"Nashville, Tennessee"
Bethune-Cookman Wildcats,Bethune-Cookman,Wildcats,/cbb/schools/bethune-cookman/men/,"Daytona Beach, Florida"
Binghamton Bearcats,Binghamton,Bearcats,/cbb/schools/binghamton/men/,"Binghamton, New York"
Boise State Broncos,,,/cbb/schools/boise-state/men/,"Boise, Idaho"
Boston College Eagles,,,/cbb/schools/boston-college/men/,"Chestnut Hill, Massachusetts"
Boston University Terriers,,,/cbb/schools/boston-university/men/,"Boston, Massachusetts"
Bowling Green State Falcons,,,/cbb/schools/bowling-green-state/men/,"Bowling Green, Ohio"
Bradley Braves,Bradley,Braves,/cbb/schools/bradley/men/,"Peoria, Illinois"
Brigham Young Cougars,,,/cbb/schools/brigham-young/men/,"Provo, Utah"
Brown Bears,Brown,Bears,/cbb/schools/brown/men/,"Providence, Rhode Island"
Bryant Bulldogs,Bryant,Bulldogs,/cbb/schools/bryant/men/,"Smithfield, Rhode Island"
Bucknell Bison,Bucknell,Bison,/cbb/schools/bucknell/men/,"Lewisburg, Pennsylvania"
Buffalo Bulls,Buffalo,Bulls,/cbb/schools/buffalo/men/,"Buffalo, New York"
Butler Bulldogs,Butler,Bulldogs,/cbb/schools/butler/men/,"Indianapolis, Indiana"
Cal Poly Mustangs,,,/cbb/schools/cal-poly/men/,"San Luis Obispo, California"
Cal State Bakersfield Roadrunners,,,/cbb/schools/cal-state-bakersfield/men/,"Bakersfield, California"
Cal State Fullerton Titans,,,/cbb/schools/cal-state-fullerton/men/,"Fullerton, California"
Cal State Northridge Matadors,,,/cbb/schools/cal-state-northridge/men/,"Northridge, California"
California Baptist Lancers,,,/cbb/schools/california-baptist/men/,"Riverside, California"
